ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Examples_Count,Examples_Count_Log
blag1240,Blagar,,-8.31787,124.251,blag1240,,8,2.0794415416798357
adan1251,Adang,,-8.18958,124.448,adan1251,,9,2.1972245773362196
lamm1241,Western Pantar,,-8.52787,124.057,lamm1241,,22,3.091042453358316
kama1365,Kamang,,-8.26897,124.792,kama1365,,10,2.302585092994046
berb1260,Berber,,,,berb1260,,1,0.0
dido1241,Tsez,,42.2646,45.8096,dido1241,,1,0.0
olde1242,Old Egyptian,,,,olde1242,,1,0.0
late1256,Late Egyptian,,,,late1256,,3,1.0986122886681098
beja1238,Beja,,17.2436,36.6666,beja1238,,1,0.0
khuz1234,Khuzestan,,,,khuz1234,,1,0.0
sara1340,Saramaccan,,4.54729,-54.0238,sara1340,,1,0.0
sran1240,Sranan,,5.83,-55.33,sran1240,,4,1.3862943611198906
bong1298,Bongor,,,,bong1298,,1,0.0
nubi1253,Kinubi,,-0.183215,34.7552,nubi1253,,4,1.3862943611198906
swah1253,Swahili,,-8.25605,37.624,swah1253,,3,1.0986122886681098
dink1262,Dinka,,,,dink1262,,1,0.0
bong1285,Bongo,,7.4145,27.9918,bong1285,,1,0.0
capp1239,Pharasiot,,38.73,35.45,capp1239,,1,0.0
nucl1417,Igbo,,4.62705,7.23441,nucl1417,,12,2.4849066497880004
olds1249,Old Spanish,,41.5,-3.9,olds1249,,1,0.0
ewee1241,Ewe,,6.46061,0.814975,ewee1241,,5,1.6094379124341003
efik1245,Efik,,4.89379,8.38121,efik1245,,5,1.6094379124341003
khez1235,Khezha,,25.7078,94.3114,khez1235,,1,0.0
maoo1244,Mao,,,,maoo1244,,1,0.0
dani1285,Danish,,54.8655,9.36284,dani1285,,5,1.6094379124341003
faro1244,Faroese,,62.0732,-6.88497,faro1244,,1,0.0
surs1245,Tuatschin,,,,surs1245,,504,6.222576268071369
nort3142,Sason,,36.2986,42.0047,nort3142,,3,1.0986122886681098
shua1254,Shua,,-21.52,26.0238,shua1254,,1,0.0
cypr1249,Cypriot Greek,,34.924591,32.978113,cypr1249,,2,0.6931471805599453
icel1247,Icelandic,,63.4837,-19.0212,icel1247,,5,1.6094379124341003
anti1246,Antioch,,,,anti1246,,2,0.6931471805599453
cant1236,Cantonese,,23.0118,113.2021,cant1236,,2,0.6931471805599453
paam1238,Paamese,,-16.47548,168.23693,paam1238,,2,0.6931471805599453
bath1244,Baṭḥari,,17.4485,53.119,bath1244,,5,1.6094379124341003
oroc1248,Oroch,,50.32354,137.85131,oroc1248,,1,0.0
alba1267,Albanian,,,,alba1267,,1,0.0
midd1321,Middle Dutch,,51.656,5.34,midd1321,,1,0.0
poli1260,Polish,,51.8439,18.6255,poli1260,,3,1.0986122886681098
savo1255,Savosavo,,-9.12853,159.814,savo1255,,1,0.0
kaer1234,Kaera,,-8.3287,124.0177,kaer1234,,2,0.6931471805599453
beng1280,Bengali,,24.0,90.0,beng1280,,1,0.0
guja1252,Old Gujarati,,22.687,71.0962,guja1252,,2,0.6931471805599453
sans1269,Sanskrit,,20.0,77.0,sans1269,,1,0.0
awad1243,Awadhi,,27.5907,82.4663,awad1243,,1,0.0
braj1242,Braj,,26.4758,78.0813,braj1242,,1,0.0
bund1253,Bundeli,,24.8982,78.9542,bund1253,,1,0.0
assa1263,Assamese,,26.0876,91.2932,assa1263,,1,0.0
onei1249,Oneida,,43.438742,-75.708106,onei1249,,2,0.6931471805599453
kima1244,Kimaragang,,6.61982,116.96,kima1244,,1,0.0
kala1372,Kalasha,,35.6415,71.6657,kala1372,,1,0.0
buru1296,Burushaski,,36.2161,74.8236,buru1296,,1,0.0
akan1250,Akan,,6.34756,-1.33254,akan1250,,7,1.9459101490553132
siwi1239,Siwi,,29.200415,25.519627,siwi1239,,1,0.0
laca1243,Lacandón,,17.02093,-91.42348,laca1243,,3,1.0986122886681098
itza1241,Itzá,,17.0269,-89.8734,itza1241,,2,0.6931471805599453
mopa1243,Mopán,,16.3533,-89.0673,mopa1243,,1,0.0
bukh1238,Bukhari,,41.0,64.0,bukh1238,,1,0.0
uppe1455,Portugais,,13.2335066667,-15.33254,uppe1455,,1,0.0
afri1274,Afrikaans,,-22.0,30.0,afri1274,,4,1.3862943611198906
tobe1252,Tobelo,,1.0946,128.154,tobe1252,,6,1.791759469228055
fore1270,Fore,,-6.64473,145.5065,fore1270,,2,0.6931471805599453
nucl1622,Marind,,-8.15651,140.009,nucl1622,,1,0.0
enga1252,Enga,,-5.45619,143.685,enga1252,,1,0.0
nucl1630,Barai,,-9.46246,147.899,nucl1630,,1,0.0
inan1242,Inanwatan,,,,inan1242,,2,0.6931471805599453
tuka1247,Tukang Besi,,,,tuka1247,,1,0.0
inui1246,Inuit,,,,inui1246,,3,1.0986122886681098
aleu1260,Aleut,,52.1228,-174.29,aleu1260,,3,1.0986122886681098
nezp1238,Nez Perce,,46.3073,-116.408,nezp1238,,6,1.791759469228055
cusc1236,Cuzco Quechua,,-14.0853,-71.7663,cusc1236,,1,0.0
roma1327,Romanian,,46.3913,24.2256,roma1327,,1,0.0
taro1263,Tarok,,8.98356,10.0288,taro1263,,2,0.6931471805599453
weno1238,Wobé,,7.40391,-7.24617,weno1238,,1,0.0
kohu1244,Kohumono,,5.92596,7.96202,kohu1244,,1,0.0
guro1248,Guro,,7.34954,-6.31154,guro1248,,1,0.0
fyam1238,Fyem,,9.59006,9.22293,fyam1238,,1,0.0
sigi1234,Guus,,,,sigi1234,,1,0.0
dadi1249,Dadiya,,9.62705,11.3587,dadi1249,,1,0.0
ndut1239,Ndut-Falor,,14.925,-16.9811,ndut1239,,2,0.6931471805599453
rash1249,Rashad,,,,rash1249,,1,0.0
gaaa1244,Ga,,5.65488,-0.18598,gaaa1244,,2,0.6931471805599453
gida1247,Gidar,,9.874715,14.07845,gida1247,,1,0.0
polc1243,Polci,,10.0258,9.53362,polc1243,,1,0.0
mofu1248,Mofu-Gudur,,10.567,14.0314,mofu1248,,1,0.0
noma1260,Nomaande,,4.5893,10.9157,noma1260,,1,0.0
yiwo1237,Gerka,,8.97395,9.78757,yiwo1237,,1,0.0
bium1280,Biu-Mandara,,,,bium1280,,1,0.0
budu1265,Buduma,,13.0692,14.4492,budu1265,,1,0.0
keng1240,Kenga,,11.6816,18.1464,keng1240,,1,0.0
lugb1240,Lugbara,,3.02245,30.8642,lugb1240,,1,0.0
furu1242,Furu,,4.485,20.6448,furu1242,,2,0.6931471805599453
mang1394,Mangbetu,,2.5511,27.0712,mang1394,,2,0.6931471805599453
meje1239,Meje,,,,meje1239,,2,0.6931471805599453
lese1243,Lese,,1.3,29.3,lese1243,,2,0.6931471805599453
klao1243,Klao,,5.05,-8.85,klao1243,,1,0.0
ndem1249,Ndemli,,4.58061,10.2197,ndem1249,,1,0.0
elem1253,Eleme,,4.72964,7.267,elem1253,,1,0.0
bero1242,Berom,,9.67037,8.81221,bero1242,,2,0.6931471805599453
kagf1238,Ut-Ma’in,,11.5319,4.8387,kagf1238,,1,0.0
vlaa1240,West Flemish,,51.0754,3.11345,vlaa1240,,1,0.0
kelo1247,Klon,,-8.40688,124.429,kelo1247,,1,0.0
safa1245,Safaitic,,,,safa1245,,1,0.0
maor1246,Maori,,-38.2881,176.541,maor1246,,1,0.0
slav1255,Slavic,,,,slav1255,,1,0.0
moro1292,Moroccan Arabic,,32.5,-7.5,moro1292,,1,0.0
nupe1254,Nupe,,9.18404,5.40031,nupe1254,,1,0.0
sino1245,Sino-Tibetan,,,,sino1245,,2,0.6931471805599453
yace1238,Yatye,,6.84259,8.84077,yace1238,,1,0.0
iraq1241,Iraqw,,-4.19948,35.2939,iraq1241,,2,0.6931471805599453
loni1238,Loniu,,-2.06124,147.35,loni1238,,1,0.0
kwom1262,Kwoma,,-4.08721,142.664,kwom1262,,1,0.0
scot1245,Scottish Gaelic,,56.7574,-5.24366,scot1245,,22,3.091042453358316
hait1244,Haitian Creole,,18.795135,-72.136115,hait1244,,1,0.0
braz1246,Brazilian Portuguese,,,,braz1246,,11,2.3978952727983707
teop1238,Teop,,-5.67474,154.971,teop1238,,1,0.0
aust1307,Austronesian,,,,aust1307,,1,0.0
misk1235,Miskitu,,15.1576,-84.2942,misk1235,,1,0.0
mina1268,Minangkabau,,-0.896,100.44,mina1268,,1,0.0
komi1268,Komi-Zyrian,,64.0527,54.946,komi1268,,1,0.0
