04.tex	245	\ipa{\super Q}	\UIPA{ˤ}
04.tex	245	\ipa{-\ }	\UIPA{-\ }
04.tex	245	\ipa{}	\UIPA{}
04.tex	246	\ipa{\textsuperimposetilde{}}	\UIPA{̴}
04.tex	246	\ipa{}	\UIPA{}
04.tex	247	\ipa{\~{}}	\UIPA{̃}
04.tex	247	\ipa{N\ n\ m\ M\ }	\UIPA{ŋ\ n\ m\ ɱ\ }
04.tex	247	\ipa{-\ }	\UIPA{-\ }
04.tex	259	\ipa{[friiz]}	\UIPA{[friiz]}
04.tex	259	\ipa{[g@fKiiK@n]}	\UIPA{[ɡəfʁiiʁən]}
04.tex	259	\ipa{[r]}	\UIPA{[r]}
